Slug,Name,URL,Category,Subcategories,Rating,Reviews,Installs,Developer,Description,Has Free Version,Icon URL,Last Updated,Scraped At
ecpay-pay-button,ECPay Pay Button,https://www.wix.com/app-market/web-solution/ecpay-pay-button,eCommerce,sell-buttons:Sell Buttons,5,2,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Offer fast checkout for payments and donations,true,https://static.wixstatic.com/media/bec40d_44616fc6207b40678a7e6b13264f707f~mv2.png/v1/fill/bec40d_44616fc6207b40678a7e6b13264f707f~mv2.png,,2025-07-06T21:56:26.649Z
deliver-via-shipos,Deliver via Shipos,https://www.wix.com/app-market/web-solution/deliver-via-shipos,eCommerce,shipping--delivery:Shipping & Delivery,5,1,,Matat technologies LTD,Supports all shipping companies in Israel,true,https://static.wixstatic.com/media/85294f_e1cbbe10a67f48c09f3ad4bc195bc6f3~mv2.png/v1/fill/85294f_e1cbbe10a67f48c09f3ad4bc195bc6f3~mv2.png,,2025-07-06T21:56:26.730Z
phonepe-pay-button,PhonePe Pay Button,https://www.wix.com/app-market/web-solution/phonepe-pay-button,eCommerce,sell-buttons:Sell Buttons,3,2,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Offer fast checkout for payments and donations,true,https://static.wixstatic.com/media/bec40d_e03ae1bbe71045c381351033db66f856~mv2.png/v1/fill/bec40d_e03ae1bbe71045c381351033db66f856~mv2.png,,2025-07-06T21:56:26.863Z
paypal-payment-buttons,Paypal,https://www.wix.com/app-market/web-solution/paypal-payment-buttons,eCommerce,sell-buttons:Sell Buttons,1,1,,MarketPushApps,Get Paid Using Paypal Buttons On Your Site,true,https://static.wixstatic.com/media/3b0a1f_76ec1ba29a944cfc9d8aeafb627383a3~mv2.png/v1/fill/3b0a1f_76ec1ba29a944cfc9d8aeafb627383a3~mv2.png,,2025-07-06T21:56:26.944Z
inpost,InPost,https://www.wix.com/app-market/web-solution/inpost,Other,shipping--delivery:Shipping & Delivery,2.3,6,,InPost,Application that integrates InPost services,true,https://static.wixstatic.com/media/bc082d_3705244d562e40379659c70cf8027102~mv2.jpg/v1/fill/bc082d_3705244d562e40379659c70cf8027102~mv2.jpg,,2025-07-06T21:56:27.026Z
swiss-post-label-printer,Swiss Post Label Printer,https://www.wix.com/app-market/web-solution/swiss-post-label-printer,eCommerce,shipping--delivery:Shipping & Delivery,4.3,6,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Easily create your Swiss Post shipping labels.,true,https://static.wixstatic.com/media/f4493c_cbf0d28862324523a59ff19a0af59b98~mv2.png/v1/fill/f4493c_cbf0d28862324523a59ff19a0af59b98~mv2.png,,2025-07-06T21:56:27.112Z
s-estimated-delivery-date-eta,S: Estimated Delivery Date ETA,https://www.wix.com/app-market/web-solution/s-estimated-delivery-date-eta,Other,shipping--delivery:Shipping & Delivery,5,1,,Omega,Boost sales with EDD & estimated delivery time,true,https://static.wixstatic.com/media/991612_66462b019ea64db6b7f43fdb4e7f619b~mv2.jpg/v1/fill/991612_66462b019ea64db6b7f43fdb4e7f619b~mv2.jpg,,2025-07-06T21:56:27.196Z
paypal-button-by-pb,Paypal,https://www.wix.com/app-market/web-solution/paypal-button-by-pb,eCommerce,sell-buttons:Sell Buttons,4.2,5,,PurpleBear7 day,Simplify online payments with PayPal Buttons,true,https://static.wixstatic.com/media/d8c8bc_81ccba33ac854a0199c834797b36ac32~mv2.png/v1/fill/d8c8bc_81ccba33ac854a0199c834797b36ac32~mv2.png,,2025-07-06T21:56:27.327Z
myparcel,MyParcel,https://www.wix.com/app-market/web-solution/myparcel,eCommerce,shipping--delivery:Shipping & Delivery,3.5,2,,MyParcel,Create shipping labels for your orders.,true,https://static.wixstatic.com/media/8fe639_882acab86a3f4550ac0f73dc03119fbf~mv2.png/v1/fill/8fe639_882acab86a3f4550ac0f73dc03119fbf~mv2.png,,2025-07-06T21:56:27.471Z
local-delivery-with-shipday,Local Delivery With Shipday,https://www.wix.com/app-market/web-solution/local-delivery-with-shipday,Other,shipping--delivery:Shipping & Delivery,2.5,4,,Shipday,Fast local delivery dispatch and tracking,true,https://static.wixstatic.com/media/9e573e_091c3ecd5e604a37a9039a2459998c54~mv2.png/v1/fill/9e573e_091c3ecd5e604a37a9039a2459998c54~mv2.png,,2025-07-06T21:56:27.585Z
